name,x,y,sky_centroid.ra,sky_centroid.dec,m,me,t
jws_1254,2120.96033,464.2211708,266.398115,-29.03337775,14.12490757,0.002359156,2022.71678
jws_1255,2850.942636,465.3519074,266.3984361,-29.02062518,14.89884905,0.003002093,2022.71678
jws_1256,2963.821267,465.3622181,266.3984824,-29.01865317,17.64809887,0.009904975,2022.71678
jws_1257,3719.751825,464.4626445,266.3987735,-29.00544655,14.80764043,0.001928062,2022.71678
jws_1258,3759.108873,471.8544114,266.3989372,-29.00476162,14.81178838,0.00215659,2022.71678
jws_1259,4228.3159,465.5868931,266.3990038,-28.99656221,13.38617482,0.001455257,2022.71678
jws_1260,4929.170613,463.3464483,266.3992454,-28.98431731,16.38873071,0.005436094,2022.71678
jws_1261,2096.437634,465.1333339,266.3981232,-29.0338065,14.43436965,0.002346592,2022.71678
jws_1262,3055.985852,466.0763931,266.3985344,-29.01704329,14.68906686,0.001915492,2022.71678
jws_1263,3223.882644,465.5685272,266.3985929,-29.01410991,15.01960121,0.002167725,2022.71678
jws_1264,4156.098292,466.1437979,266.3989854,-28.99782407,13.83907927,0.001773211,2022.71678
jws_1265,4504.856046,465.1317202,266.3991077,-28.99173083,14.1484286,0.000959492,2022.71678
jws_1266,1645.278444,467.8210699,266.3979924,-29.04168932,13.46949195,0.001983848,2022.71678
jws_1267,3510.774221,470.4471804,266.3988076,-29.00909958,14.72799176,0.001953229,2022.71678
jws_1268,3947.571535,469.240073,266.398962,-29.00146819,17.17341555,0.0066896,2022.71678
jws_1269,724.1026226,469.775486,266.3976547,-29.05778319,12.7236723,0.001602329,2022.71678
jws_1270,3017.629276,468.6203523,266.3985695,-29.0177143,16.56804038,0.004745727,2022.71678
jws_1271,3498.682762,469.6885307,266.3987875,-29.00931055,17.24034185,0.007513625,2022.71678
jws_1272,3748.31153,468.7010167,266.3988698,-29.00494912,16.17069658,0.003677581,2022.71678
jws_1273,3522.536179,469.5241574,266.398794,-29.00889377,14.66763519,0.00188175,2022.71678
jws_1274,3879.385062,469.224509,266.3989338,-29.00265942,15.18341104,0.00231475,2022.71678
jws_1275,4447.927009,470.3393499,266.3991884,-28.99272725,14.41513896,0.001416563,2022.71678
